ADD,                               1,03/09/2020,16:26:54,16:27:21,      27,       0,       0,       0,      15,       0,       0,       0,       0
ADD,                               1,03/09/2020,16:27:34,16:31:27,     233,       0,       0,       0,      65,       0,       0,       0,       0
ADD,                               1,03/10/2020,10:04:40,10:07:33,     173,       0,       0,       0,      70,       2,       0,       0,       0
ADD,                               1,03/10/2020,10:33:15,10:34:07,      52,       0,       0,       0,      58,       0,       0,       0,       0
ADD,                               1,03/10/2020,10:34:58,10:35:41,      43,       0,       0,       0,      46,       0,       0,       0,       0
ADD,                               1,03/10/2020,11:14:46,11:25:05,     619,       0,       0,       0,      27,       0,       0,       0,       0
ADD,                               1,03/10/2020,15:02:35,15:03:26,      51,       0,       0,       0,      32,       0,       0,       0,       0
ADD,                               1,03/10/2020,15:04:36,15:05:10,      34,       0,       0,       0,      27,       0,       0,       0,       0
ADD,                               1,03/10/2020,15:32:45,15:36:04,     199,       0,       0,       0,      42,       1,       0,       0,       0
ADD,                               1,03/10/2020,19:26:28,19:27:43,      75,       0,       0,       0,      26,       0,       0,       0,       0
ADD,                               1,03/10/2020,19:32:30,19:33:41,      71,       0,       0,       0,      34,       0,       0,       0,       0
ADD,                               1,03/10/2020,19:45:07,20:21:52,    2205,       0,       0,       0,      51,       0,       0,       0,       0
ADD,                               1,03/10/2020,20:26:58,20:33:20,     382,       0,       0,       0,      74,       2,       0,       0,       0
ADD,                               1,03/10/2020,20:52:06,20:53:14,      68,       0,       0,       0,      46,       0,       0,       0,       0
ADD,                               1,03/10/2020,22:00:31,22:05:13,     282,       0,       0,       0,      54,       0,       0,       0,       0
ADD,                               1,03/11/2020,00:43:44,00:45:14,      90,       0,       0,       0,      44,       0,       0,       0,       0
ADD,                               1,03/11/2020,00:47:06,00:48:26,      80,       0,       0,       0,      42,       0,       0,       0,       0
ADD,                               1,03/11/2020,00:57:30,01:04:46,     436,       0,       0,       0,      51,       0,       0,       0,       0
ADD,                               1,03/11/2020,01:04:55,01:07:22,     147,       0,       0,       0,      47,       0,       0,       0,       0
ADD,                               1,03/11/2020,01:07:47,01:09:19,      92,       0,       0,       0,      49,       0,       0,       0,       0
ADD,                               1,03/11/2020,01:28:12,01:29:39,      87,       0,       0,       0,      42,       0,       0,       0,       0
